"","power","alpha","sample_size","test","means","mean_x","mean_y"
"1",0.095,0.04,100,"t.test","4, 4.2",4,4.2
"2",0.176,0.058,200,"t.test","4, 4.2",4,4.2
"3",0.23,0.05,300,"t.test","4, 4.2",4,4.2
"4",0.291,0.052,400,"t.test","4, 4.2",4,4.2
"5",0.362,0.054,500,"t.test","4, 4.2",4,4.2
"6",0.421,0.057,600,"t.test","4, 4.2",4,4.2
"7",0.458,0.042,700,"t.test","4, 4.2",4,4.2
"8",0.509,0.042,800,"t.test","4, 4.2",4,4.2
"9",0.574,0.062,900,"t.test","4, 4.2",4,4.2
"10",0.601,0.061,1000,"t.test","4, 4.2",4,4.2
"11",0.645,0.046,1100,"t.test","4, 4.2",4,4.2
"12",0.685,0.054,1200,"t.test","4, 4.2",4,4.2
"13",0.718,0.041,1300,"t.test","4, 4.2",4,4.2
"14",0.716,0.059,1400,"t.test","4, 4.2",4,4.2
"15",0.785,0.042,1500,"t.test","4, 4.2",4,4.2
"16",0.816,0.053,1600,"t.test","4, 4.2",4,4.2
"17",0.828,0.036,1700,"t.test","4, 4.2",4,4.2
"18",0.856,0.055,1800,"t.test","4, 4.2",4,4.2
"19",0.887,0.053,1900,"t.test","4, 4.2",4,4.2
"20",0.892,0.048,2000,"t.test","4, 4.2",4,4.2
"21",0.416,0.051,100,"t.test","4, 4.5",4,4.5
"22",0.685,0.048,200,"t.test","4, 4.5",4,4.5
"23",0.849,0.049,300,"t.test","4, 4.5",4,4.5
"24",0.949,0.048,400,"t.test","4, 4.5",4,4.5
"25",0.969,0.046,500,"t.test","4, 4.5",4,4.5
"26",0.991,0.04,600,"t.test","4, 4.5",4,4.5
"27",0.997,0.046,700,"t.test","4, 4.5",4,4.5
"28",0.997,0.049,800,"t.test","4, 4.5",4,4.5
"29",1,0.056,900,"t.test","4, 4.5",4,4.5
"30",1,0.048,1000,"t.test","4, 4.5",4,4.5
"31",1,0.039,1100,"t.test","4, 4.5",4,4.5
"32",1,0.045,1200,"t.test","4, 4.5",4,4.5
"33",1,0.057,1300,"t.test","4, 4.5",4,4.5
"34",1,0.053,1400,"t.test","4, 4.5",4,4.5
"35",1,0.055,1500,"t.test","4, 4.5",4,4.5
"36",1,0.058,1600,"t.test","4, 4.5",4,4.5
"37",1,0.04,1700,"t.test","4, 4.5",4,4.5
"38",1,0.062,1800,"t.test","4, 4.5",4,4.5
"39",1,0.05,1900,"t.test","4, 4.5",4,4.5
"40",1,0.052,2000,"t.test","4, 4.5",4,4.5
"41",0.797,0.051,100,"t.test","4, 4.8",4,4.8
"42",0.98,0.042,200,"t.test","4, 4.8",4,4.8
"43",0.998,0.058,300,"t.test","4, 4.8",4,4.8
"44",1,0.042,400,"t.test","4, 4.8",4,4.8
"45",1,0.058,500,"t.test","4, 4.8",4,4.8
"46",1,0.048,600,"t.test","4, 4.8",4,4.8
"47",1,0.06,700,"t.test","4, 4.8",4,4.8
"48",1,0.06,800,"t.test","4, 4.8",4,4.8
"49",1,0.043,900,"t.test","4, 4.8",4,4.8
"50",1,0.055,1000,"t.test","4, 4.8",4,4.8
"51",1,0.053,1100,"t.test","4, 4.8",4,4.8
"52",1,0.05,1200,"t.test","4, 4.8",4,4.8
"53",1,0.047,1300,"t.test","4, 4.8",4,4.8
"54",1,0.038,1400,"t.test","4, 4.8",4,4.8
"55",1,0.053,1500,"t.test","4, 4.8",4,4.8
"56",1,0.052,1600,"t.test","4, 4.8",4,4.8
"57",1,0.045,1700,"t.test","4, 4.8",4,4.8
"58",1,0.044,1800,"t.test","4, 4.8",4,4.8
"59",1,0.043,1900,"t.test","4, 4.8",4,4.8
"60",1,0.049,2000,"t.test","4, 4.8",4,4.8
"61",0.103,0.047,100,"z.test","4, 4.2",4,4.2
"62",0.146,0.042,200,"z.test","4, 4.2",4,4.2
"63",0.231,0.048,300,"z.test","4, 4.2",4,4.2
"64",0.296,0.047,400,"z.test","4, 4.2",4,4.2
"65",0.35,0.052,500,"z.test","4, 4.2",4,4.2
"66",0.395,0.043,600,"z.test","4, 4.2",4,4.2
"67",0.484,0.05,700,"z.test","4, 4.2",4,4.2
